sample	BLCA	CESC	ESCA	HNSC	LUSC	window_size	coverage
F138888	0.0008135791	0.0012690905	0.02532275	0.93942535	0.033169243	0	0.2
F148364	0.011639383	0.000660925	0.0034249693	0.40661666	0.57765806	0	0.2
F148365	0.011446095	0.005827432	0.013079482	0.8837749	0.08587212	0	0.2
F148367	0.0038635416	0.0008371347	0.018707823	0.6762751	0.3003164	0	0.2
F148369	0.012571382	0.0058309985	0.0040192856	0.9351716	0.042406674	0	0.2
F148370	0.011182821	0.0036262535	0.005912167	0.90160704	0.07767167	0	0.2
F148374	0.022179294	0.0021555107	0.0042351265	0.6141261	0.35730398	0	0.2
F148375	0.0022334564	2.873835e-05	0.00059273903	0.097365946	0.8997792	0	0.2
F148376	0.023026064	0.008183303	0.009862631	0.83638984	0.12253812	0	0.2
F148377	0.02696107	0.056343693	0.017665295	0.8843133	0.014716645	0	0.2
32395_T_F112331-F94490	0.035435144	0.014132276	0.0014597668	0.927201	0.021771776	50	0.2
32655_T_F111504	0.025073746	0.00701294	0.005917631	0.84099644	0.12099928	50	0.2
33373_T_F94422	0.06571485	0.06682528	0.0045252764	0.8442156	0.018719053	50	0.2
36067_T_F94494	0.027014079	0.03199002	0.005854965	0.92279917	0.012341765	50	0.2
40168_T_F94519	0.045853768	0.05983308	0.021919608	0.8251525	0.047240995	50	0.2
41813_T_F94516	0.0056352206	0.002287122	0.004288849	0.9452648	0.042523947	50	0.2
F138888	0.00090963166	0.00085082726	0.024190675	0.9136993	0.0603496	50	0.2
F148364	0.003729614	0.00027789475	0.0061194543	0.39131868	0.5985544	50	0.2
F148365	0.012826179	0.017420184	0.020787304	0.91796017	0.031006185	50	0.2
F148367	0.008080317	0.0018515302	0.009222825	0.7968384	0.18400687	50	0.2
F148369	0.01170556	0.007845737	0.0061896043	0.93623495	0.038024206	50	0.2
F148370	0.0067515685	0.0040448825	0.006367867	0.9483797	0.03445597	50	0.2
F148374	0.020182483	0.003650397	0.019434001	0.47116995	0.48556313	50	0.2
F148375	0.0024312292	4.6461126e-05	0.0010557908	0.18131876	0.81514764	50	0.2
F148376	0.0274855	0.0068884534	0.0068359943	0.80719143	0.15159866	50	0.2
F148377	0.007900223	0.027481988	0.057083745	0.8888748	0.018659128	50	0.2
32395_T_F112331-F94490	0.017237965	0.0102121765	0.001737062	0.9560117	0.014800984	100	0.2
32655_T_F111504	0.023714349	0.0053668083	0.0043778955	0.8330576	0.13348341	100	0.2
33373_T_F94422	0.0620108	0.063948676	0.0050014104	0.84957796	0.019461175	100	0.2
36067_T_F94494	0.027362399	0.033024624	0.008893791	0.91403836	0.016680883	100	0.2
40168_T_F94519	0.045277454	0.07449839	0.022642925	0.8234398	0.03414141	100	0.2
41813_T_F94516	0.0056577194	0.0021832963	0.0035244832	0.9506622	0.037972346	100	0.2
F138888	0.00085747615	0.00073543895	0.023603525	0.90949804	0.06530552	100	0.2
F148364	0.0028132466	0.00034711056	0.011783406	0.46312562	0.52193063	100	0.2
F148365	0.012936416	0.014728483	0.016624276	0.9209794	0.034731448	100	0.2
F148367	0.020003373	0.0036911585	0.006136936	0.7871758	0.18299279	100	0.2
F148369	0.0069519263	0.0037950948	0.005988565	0.9359409	0.04732363	100	0.2
F148370	0.008505093	0.0037797454	0.0045497613	0.9424358	0.040729653	100	0.2
F148374	0.0041067237	0.0007581044	0.009376743	0.6842889	0.3014695	100	0.2
F148375	0.0018887075	3.5672023e-05	0.0011549258	0.15200038	0.84492034	100	0.2
F148376	0.02716457	0.007163235	0.0052898633	0.8406426	0.11973976	100	0.2
F148377	0.00960448	0.028905496	0.054357197	0.8848699	0.022262976	100	0.2
32395_T_F112331-F94490	0.01462388	0.007560439	0.0015809357	0.96013147	0.016103338	150	0.2
32655_T_F111504	0.023927273	0.0058871605	0.011203632	0.7206159	0.23836598	150	0.2
33373_T_F94422	0.07428592	0.093842484	0.0073035653	0.8047994	0.019768678	150	0.2
36067_T_F94494	0.025501199	0.03430087	0.009460057	0.91552305	0.015214798	150	0.2
40168_T_F94519	0.04684221	0.09532836	0.023991285	0.8082717	0.025566408	150	0.2
41813_T_F94516	0.006270226	0.002199812	0.002595318	0.9545188	0.03441579	150	0.2
F138888	0.0009112757	0.00079092395	0.027035654	0.89988285	0.07137927	150	0.2
F148364	0.0039323154	0.0005779985	0.013470073	0.51421916	0.46780047	150	0.2
F148365	0.014503307	0.013227145	0.016829168	0.90354466	0.051895756	150	0.2
F148367	0.018321726	0.003519013	0.0059221485	0.8013278	0.17090935	150	0.2
F148369	0.0066135237	0.0036776399	0.007078217	0.93103987	0.051590756	150	0.2
F148370	0.008575759	0.0042183595	0.0043994267	0.94702786	0.035778705	150	0.2
F148374	0.004734694	0.0009809582	0.013074092	0.672461	0.3087492	150	0.2
F148375	0.0020732959	4.3690437e-05	0.0013292124	0.16531008	0.8312437	150	0.2
F148376	0.029370002	0.00782865	0.0054311156	0.83608985	0.121280454	150	0.2
F148377	0.01167077	0.032079574	0.04317425	0.8922181	0.020857334	150	0.2
32395_T_F112331-F94490	0.020730523	0.011228472	0.0017410023	0.9497337	0.016566383	200	0.2
